"","mature_mirna_id","target_symbol"
"82601","hsa-miR-1179","CEP192"
"82603","hsa-miR-1179","CEP55"
"82633","hsa-miR-1179","CLIP4"
"82663","hsa-miR-1179","COPG2"
"82666","hsa-miR-1179","COQ10B"
"82705","hsa-miR-1179","CTNNB1"
"82715","hsa-miR-1179","CUL5"
"82729","hsa-miR-1179","CYP39A1"
"82750","hsa-miR-1179","DCP1A"
"82773","hsa-miR-1179","DHX9"
"82777","hsa-miR-1179","DIP2A"
"82781","hsa-miR-1179","DKC1"
"82809","hsa-miR-1179","DPP3"
"82826","hsa-miR-1179","DYRK4"
"82829","hsa-miR-1179","E2F3"
"82831","hsa-miR-1179","E2F8"
"82843","hsa-miR-1179","EFR3A"
"82847","hsa-miR-1179","EID2B"
"82853","hsa-miR-1179","EIF3A"
"82863","hsa-miR-1179","ELK4"
"82871","hsa-miR-1179","ELP2"
"82896","hsa-miR-1179","ESS2"
"82952","hsa-miR-1179","FANCC"
"82977","hsa-miR-1179","FEM1B"
"82997","hsa-miR-1179","FMR1"
"83000","hsa-miR-1179","FOSL2"
"83029","hsa-miR-1179","G3BP1"
"83067","hsa-miR-1179","GIT2"
"83086","hsa-miR-1179","GOLGA5"
"83101","hsa-miR-1179","GPBP1"
"83102","hsa-miR-1179","GPI"
"83132","hsa-miR-1179","GTF3C4"
"83138","hsa-miR-1179","GXYLT2"
"83141","hsa-miR-1179","HACE1"
"83165","hsa-miR-1179","HLA-DPA1"
"83169","hsa-miR-1179","HMGCS1"
"83175","hsa-miR-1179","HNRNPA1"
"83184","hsa-miR-1179","HOXD9"
"83198","hsa-miR-1179","HTT"
"83211","hsa-miR-1179","IKBKB"
"83236","hsa-miR-1179","IREB2"
"83246","hsa-miR-1179","ITPKB"
"83256","hsa-miR-1179","JKAMP"
"83319","hsa-miR-1179","KIT"
"83338","hsa-miR-1179","KNL1"
"83340","hsa-miR-1179","KPNA2"
"83355","hsa-miR-1179","LBR"
"83373","hsa-miR-1179","LIN54"
"83383","hsa-miR-1179","LMNB2"
"83412","hsa-miR-1179","LTV1"
"83427","hsa-miR-1179","MAGI2"
"83450","hsa-miR-1179","MARVELD2"
"83473","hsa-miR-1179","MED17"
"83487","hsa-miR-1179","MFAP3"
"83509","hsa-miR-1179","MOB3C"
"83513","hsa-miR-1179","MOSMO"
"83527","hsa-miR-1179","MSH2"
"83546","hsa-miR-1179","MYH10"
"83569","hsa-miR-1179","NAP1L4"
"83572","hsa-miR-1179","NARS1"
"83584","hsa-miR-1179","NCOA4"
"83587","hsa-miR-1179","NDC80"
"83621","hsa-miR-1179","NOC2L"
"83633","hsa-miR-1179","NPEPPS"
"83635","hsa-miR-1179","NPTX1"
"83655","hsa-miR-1179","NUDT3"
"83717","hsa-miR-1179","PARD6B"
"83718","hsa-miR-1179","PARG"
"83783","hsa-miR-1179","PERP"
"83786","hsa-miR-1179","PGGHG"
"83790","hsa-miR-1179","PGRMC1"
"83794","hsa-miR-1179","PHKA1"
"83800","hsa-miR-1179","PHYKPL"
"83813","hsa-miR-1179","PIK3R3"
"83827","hsa-miR-1179","PLCL2"
"83834","hsa-miR-1179","PLEKHB2"
"83862","hsa-miR-1179","PPARGC1B"
"83890","hsa-miR-1179","PRDX1"
"83917","hsa-miR-1179","PRRC2B"
"83918","hsa-miR-1179","PRRC2C"
"83926","hsa-miR-1179","PSMB1"
"83945","hsa-miR-1179","PTPN4"
"83954","hsa-miR-1179","PUM1"
"83978","hsa-miR-1179","RAMAC"
"83992","hsa-miR-1179","RBCK1"
"84050","hsa-miR-1179","RPL27A"
"84099","hsa-miR-1179","SDK2"
"84111","hsa-miR-1179","SELENOI"
"84158","hsa-miR-1179","SLC23A1"
"84168","hsa-miR-1179","SLC26A3"
"84232","hsa-miR-1179","SOD2"
"84280","hsa-miR-1179","SSR3"
"84300","hsa-miR-1179","STK25"
"84302","hsa-miR-1179","STK40"
"84338","hsa-miR-1179","TAB2"
"84347","hsa-miR-1179","TAOK2"
"84371","hsa-miR-1179","TDRD7"
"84383","hsa-miR-1179","THAP1"
"84389","hsa-miR-1179","THOC2"
"84397","hsa-miR-1179","TLCD3A"
"84401","hsa-miR-1179","TMBIM6"
"84420","hsa-miR-1179","TMEM200C"
"84432","hsa-miR-1179","TMEM52B"
"84451","hsa-miR-1179","TOGARAM2"
"84453","hsa-miR-1179","TOR1A"
"84457","hsa-miR-1179","TPI1"
"84490","hsa-miR-1179","TSC22D3"
"84493","hsa-miR-1179","TSHZ1"
"84503","hsa-miR-1179","TTLL3"
"84510","hsa-miR-1179","TWNK"
"84523","hsa-miR-1179","UBE2Z"
"84525","hsa-miR-1179","UBE3C"
"84534","hsa-miR-1179","UFL1"
"84575","hsa-miR-1179","WBP2"
"84584","hsa-miR-1179","WDR47"
"84585","hsa-miR-1179","WDR55"
"84590","hsa-miR-1179","WDR91"
"84612","hsa-miR-1179","YEATS4"
"84616","hsa-miR-1179","YTHDF2"
"84617","hsa-miR-1179","YY1AP1"
"84625","hsa-miR-1179","ZBTB44"
"84639","hsa-miR-1179","ZFAND2A"
"84664","hsa-miR-1179","ZNF284"
"84711","hsa-miR-1179","ZWINT"
"2061","hsa-miR-1275","ACTB"
"2062","hsa-miR-1275","GDI1"
"2063","hsa-miR-1275","PKNOX2"
"4290","hsa-miR-1275","GANAB"
"4291","hsa-miR-1275","HNRNPAB"
"4294","hsa-miR-1275","MINK1"
"4295","hsa-miR-1275","NFIX"
"4298","hsa-miR-1275","UBE2Z"
"4299","hsa-miR-1275","VPS37D"
"9372","hsa-miR-1275","ANKRD13B"
"9373","hsa-miR-1275","AP2M1"
"9374","hsa-miR-1275","ARID1A"
"9375","hsa-miR-1275","BRPF1"
"9379","hsa-miR-1275","CPSF7"
"9381","hsa-miR-1275","DDA1"
"9383","hsa-miR-1275","DIRAS2"
"9384","hsa-miR-1275","DVL3"
"9386","hsa-miR-1275","EFNA3"
"9389","hsa-miR-1275","FBRS"
"9390","hsa-miR-1275","FKBP8"
"9396","hsa-miR-1275","HOXB5"
"9399","hsa-miR-1275","IGF2BP3"
"9400","hsa-miR-1275","KLHL28"
"9401","hsa-miR-1275","KMT2D"
"9403","hsa-miR-1275","LPCAT3"
"9405","hsa-miR-1275","MAP7D1"
"9408","hsa-miR-1275","MKNK2"
"9411","hsa-miR-1275","PCDHGA10"
"9419","hsa-miR-1275","PCDHGB1"
"9426","hsa-miR-1275","PHLDA3"
"9435","hsa-miR-1275","SERTAD2"
"9440","hsa-miR-1275","STK4"
"9441","hsa-miR-1275","UBE2N"
"9442","hsa-miR-1275","UBTF"
"23336","hsa-miR-1275","ATPAF1"
"23340","hsa-miR-1275","BCL7A"
"23347","hsa-miR-1275","C2CD5"
"23355","hsa-miR-1275","CASTOR2"
"23358","hsa-miR-1275","CCDC88C"
"23360","hsa-miR-1275","CDADC1"
"23361","hsa-miR-1275","CDC27"
"23364","hsa-miR-1275","CEBPG"
"23368","hsa-miR-1275","CLIP2"
"23371","hsa-miR-1275","CRK"
"23372","hsa-miR-1275","CRTC2"
"23374","hsa-miR-1275","DDX6"
"23379","hsa-miR-1275","E2F7"
"23387","hsa-miR-1275","ETV3"
"23389","hsa-miR-1275","FAM222B"
"23392","hsa-miR-1275","FBXO11"
"23407","hsa-miR-1275","HOXD9"
"23408","hsa-miR-1275","ICMT"
"23409","hsa-miR-1275","IGF1R"
"23411","hsa-miR-1275","ILK"
"23412","hsa-miR-1275","IRF5"
"23428","hsa-miR-1275","MEAF6"
"23432","hsa-miR-1275","METTL6"
"23434","hsa-miR-1275","MLLT6"
"23440","hsa-miR-1275","MTHFD2L"
"23442","hsa-miR-1275","MYL12A"
"23445","hsa-miR-1275","NACC1"
"23446","hsa-miR-1275","NCOA2"
"23457","hsa-miR-1275","ONECUT3"
"23458","hsa-miR-1275","ORMDL3"
"23461","hsa-miR-1275","P2RX7"
"23462","hsa-miR-1275","PACS1"
"23473","hsa-miR-1275","PGPEP1"
"23476","hsa-miR-1275","PKM"
"23488","hsa-miR-1275","PRELP"
"23494","hsa-miR-1275","RAB15"
"23501","hsa-miR-1275","RGP1"
"23504","hsa-miR-1275","RPP25"
"23505","hsa-miR-1275","RREB1"
"23515","hsa-miR-1275","SERBP1"
"23517","hsa-miR-1275","SF3B3"
"23522","hsa-miR-1275","SIX3"
"23529","hsa-miR-1275","SMAD2"
"23544","hsa-miR-1275","STMN3"
"23547","hsa-miR-1275","SUMO1"
"23548","hsa-miR-1275","SUV39H1"
"23556","hsa-miR-1275","TMEM189"
"23565","hsa-miR-1275","UBALD1"
"23566","hsa-miR-1275","UBL5"
"23569","hsa-miR-1275","URM1"
"84717","hsa-miR-1275",""
"84740","hsa-miR-1275","ABCC6"
"84762","hsa-miR-1275","ADAM17"
"84765","hsa-miR-1275","ADGRG6"
"84772","hsa-miR-1275","AGO2"
"84785","hsa-miR-1275","AMIGO1"
"84789","hsa-miR-1275","ANK1"
"84800","hsa-miR-1275","AR"
"84809","hsa-miR-1275","ARHGDIA"
